code,name,formal_name,continent,region,longitude,latitude
IRN,Iran (Islamic Rep. of),the Islamic Republic of Iran,Asia,Southern Asia,54.237077001065444,32.906023742890056
IRQ,Iraq,the Republic of Iraq,Asia,Western Asia,43.832529181056884,33.105075667527906
IRL,Ireland,Ireland,Europe,Northern Europe,-8.241128545554096,53.30489539816495
ISR,Israel,the State of Israel,Asia,Western Asia,35.027923472437024,31.513542220043195
ITA,Italy,the Italian Republic,Europe,Southern Europe,12.763657166123137,42.98201127614267
JAM,Jamaica,Jamaica,Latin America and the Caribbean,Caribbean,-77.30358894542778,18.12207889341651
JPN,Japan,Japan,Asia,Eastern Asia,137.46934234351835,36.76738832597829
JOR,Jordan,the Hashemite Kingdom of Jordan,Asia,Western Asia,36.95728884547246,31.387064884449156
KAZ,Kazakhstan,the Republic of Kazakstan,Asia,Central Asia,66.3759193479301,47.641465195176835
KEN,Kenya,the Republic of Kenya,Africa,Eastern Africa,37.95309411262371,0.6899182318376179
KIR,Kiribati,Kiribati,Oceania,Micronesia,-157.39024189323504,1.8676673749241066
KWT,Kuwait,the State of Kuwait,Asia,Western Asia,47.56311109320184,29.281360965443092
KGZ,Kyrgyzstan,the Kyrgyz Republic,Asia,Central Asia,74.17532903468319,41.35698905438358
LAO,Lao People's Dem. Rep.,the Lao People's Democratic Republic,Asia,South-eastern Asia,103.76375899026448,18.117282736873282
LVA,Latvia,the Republic of Latvia,Europe,Northern Europe,24.693671325654403,56.813853047554154
LBN,Lebanon,the Lebanese Republic,Asia,Western Asia,35.89651946324749,33.91160170722086
LSO,Lesotho,the Kingdom of Lesotho,Africa,Southern Africa,28.24475317864227,-29.60168116924817
LBR,Liberia,the Republic of Liberia,Africa,Western Africa,-9.258988935497618,6.52012979398834
LBY,Libya,the Socialist People's Libyan Arab Jamahiriya,Africa,Northern Africa,17.91133392454237,27.202915771690794
LIE,Liechtenstein,the Principality of Liechtenstein,Europe,Western Europe,9.547674672376376,47.14627562133036
LTU,Lithuania,the Republic of Lithuania,Europe,Northern Europe,23.946021605013534,55.29437393417175
LUX,Luxembourg,the Grand Duchy of Luxembourg,Europe,Western Europe,6.103230338458876,49.77523454542369
MDG,Madagascar,the Republic of Madagascar,Africa,Eastern Africa,46.68493466832544,-19.04163612493041
MWI,Malawi,the Republic of Malawi,Africa,Eastern Africa,34.23441182298881,-13.128986464184024
MYS,Malaysia,Malaysia,Asia,South-eastern Asia,114.63330303992869,3.6716608556387857
MDV,Maldives,the Republic of Maldives,Asia,Southern Asia,73.10076245140479,-0.6065577168009924
MLI,Mali,the Republic of Mali,Africa,Western Africa,-4.346399841781153,17.168146208584837
MLT,Malta,the Republic of Malta,Europe,Southern Europe,14.441922442508494,35.890522650899314
MHL,Marshall Islands,the Republic of the Marshall Islands,Oceania,Micronesia,168.72016025351076,7.307929900994344
MTQ,Martinique,Martinique,Latin America and the Caribbean,Caribbean,-61.01432380875083,14.642697353597645
MRT,Mauritania,the Islamic Republic of Mauritania,Africa,Western Africa,-10.495079045035716,20.466731212820022
MUS,Mauritius,the Republic of Mauritius,Africa,Eastern Africa,57.56415671066546,-20.28142317475198
MEX,Mexico,the United Mexican States,Latin America and the Caribbean,Central America,-101.55399731630118,23.87436068093592
FSM,Micronesia (Federated States of),the Federated States of Micronesia,Oceania,Micronesia,158.2291899444527,6.8789448129255435
MCO,Monaco,the Principality of Monaco,Europe,Western Europe,7.412820873271196,43.74798224995656
MNG,Mongolia,Mongolia,Asia,Eastern Asia,103.3987360327455,47.08644454604851
MNE,Montenegro,the Republic of Montenegro,Europe,Southern Europe,19.29505087156758,42.73694835210454
MSR,Montserrat,Montserrat,Latin America and the Caribbean,Caribbean,-62.18693281256255,16.735363391460357
MAR,Morocco,the Kingdom of Morocco,Africa,Northern Africa,-8.817212587250811,28.687598134979325
MOZ,Mozambique,the Republic of Mozambique,Africa,Eastern Africa,35.208577031290176,-17.525230309488748
