year,name_country,code_country,total,continent,region
2018,Honduras,HND,190000,Latin America and the Caribbean,Central America
2018,Indonesia,IDN,16000,Asia,South-eastern Asia
2018,India,IND,479000,Asia,Southern Asia
2018,Iraq,IRQ,1962000,Asia,Western Asia
2018,Kenya,KEN,162000,Africa,Eastern Africa
2018,Lebanon,LBN,11000,Asia,Western Asia
2018,Libya,LBY,221000,Africa,Northern Africa
2018,Sri Lanka,LKA,37000,Asia,Southern Asia
2018,Madagascar,MDG,2000,Africa,Eastern Africa
2018,Mexico,MEX,338000,Latin America and the Caribbean,Central America
2018,North Macedonia,MKD,140,Europe,Southern Europe
2018,Mali,MLI,120000,Africa,Western Africa
2018,Myanmar,MMR,401000,Asia,South-eastern Asia
2018,Mozambique,MOZ,14000,Africa,Eastern Africa
2018,Niger,NER,156000,Africa,Western Africa
2018,Nigeria,NGA,2216000,Africa,Western Africa
2018,Pakistan,PAK,119000,Asia,Southern Asia
2018,Peru,PER,59000,Latin America and the Caribbean,South America
2018,Philippines,PHL,301000,Asia,South-eastern Asia
2018,Papua New Guinea,PNG,12000,Oceania,Melanesia
2018,Palestinian,PSE,238000,Asia,Western Asia
2018,Russian Federation,RUS,2300,Europe,Eastern Europe
2018,Sudan,SDN,2072000,Africa,Northern Africa
2018,Senegal,SEN,18000,Africa,Western Africa
2018,Sierra Leone,SLE,3000,Africa,Western Africa
2018,Somalia,SOM,2648000,Africa,Eastern Africa
2018,South Sudan,SSD,1869000,Africa,Eastern Africa
2018,Syrian Arab Rep.,SYR,6119000,Asia,Western Asia
2018,Chad,TCD,90000,Africa,Middle Africa
2018,Thailand,THA,41000,Asia,South-eastern Asia
2018,Türkiye,TUR,1097000,Asia,Western Asia
2018,Uganda,UGA,32000,Africa,Eastern Africa
2018,Ukraine,UKR,800000,Europe,Eastern Europe
2018,Serbia and Kosovo: S/RES/1244 (1999),SRB,16000,Europe,Southern Europe
2018,Yemen,YEM,2324000,Asia,Western Asia
2019,Afghanistan,AFG,2993000,Asia,Southern Asia
2019,Azerbaijan,AZE,351000,Asia,Western Asia
2019,Burundi,BDI,23000,Africa,Eastern Africa
2019,Benin,BEN,3700,Africa,Western Africa
2019,Burkina Faso,BFA,560000,Africa,Western Africa
2019,Bangladesh,BGD,427000,Asia,Southern Asia
2019,Bosnia and Herzegovina,BIH,99000,Europe,Southern Europe
2019,Bolivia (Plurinational State of),BOL,31,Latin America and the Caribbean,South America
